geo_type,region,transportation_type,alternative_name,sub_region,country,date,score
city,Birmingham,driving,NA,England,United Kingdom,2020-01-13,100
city,Birmingham,driving,NA,England,United Kingdom,2020-01-14,104.03
city,Birmingham,driving,NA,England,United Kingdom,2020-01-15,102.98
city,Birmingham,driving,NA,England,United Kingdom,2020-01-16,103.8
city,Birmingham,driving,NA,England,United Kingdom,2020-01-17,105.29
city,Birmingham,driving,NA,England,United Kingdom,2020-01-18,102.57
city,Birmingham,driving,NA,England,United Kingdom,2020-01-19,85.85
city,Birmingham,driving,NA,England,United Kingdom,2020-01-20,104.19
city,Birmingham,driving,NA,England,United Kingdom,2020-01-21,107.52
city,Birmingham,driving,NA,England,United Kingdom,2020-01-22,106.28
city,Birmingham,driving,NA,England,United Kingdom,2020-01-23,107.32
city,Birmingham,driving,NA,England,United Kingdom,2020-01-24,109.67
city,Birmingham,driving,NA,England,United Kingdom,2020-01-25,106.49
city,Birmingham,driving,NA,England,United Kingdom,2020-01-26,87.77
city,Birmingham,driving,NA,England,United Kingdom,2020-01-27,99.69
city,Birmingham,driving,NA,England,United Kingdom,2020-01-28,108.12
city,Birmingham,driving,NA,England,United Kingdom,2020-01-29,108.75
city,Birmingham,driving,NA,England,United Kingdom,2020-01-30,102.93
city,Birmingham,driving,NA,England,United Kingdom,2020-01-31,110.65
city,Birmingham,driving,NA,England,United Kingdom,2020-02-01,106.63
city,Birmingham,driving,NA,England,United Kingdom,2020-02-02,89.76
city,Birmingham,driving,NA,England,United Kingdom,2020-02-03,99.36
city,Birmingham,driving,NA,England,United Kingdom,2020-02-04,105.25
city,Birmingham,driving,NA,England,United Kingdom,2020-02-05,104.19
city,Birmingham,driving,NA,England,United Kingdom,2020-02-06,107.74
city,Birmingham,driving,NA,England,United Kingdom,2020-02-07,114.86
city,Birmingham,driving,NA,England,United Kingdom,2020-02-08,104.45
city,Birmingham,driving,NA,England,United Kingdom,2020-02-09,84.46
city,Birmingham,driving,NA,England,United Kingdom,2020-02-10,103.17
city,Birmingham,driving,NA,England,United Kingdom,2020-02-11,108.72
city,Birmingham,driving,NA,England,United Kingdom,2020-02-12,106.75
city,Birmingham,driving,NA,England,United Kingdom,2020-02-13,106.71
city,Birmingham,driving,NA,England,United Kingdom,2020-02-14,118.65
city,Birmingham,driving,NA,England,United Kingdom,2020-02-15,103.96
city,Birmingham,driving,NA,England,United Kingdom,2020-02-16,95.88
city,Birmingham,driving,NA,England,United Kingdom,2020-02-17,112.14
city,Birmingham,driving,NA,England,United Kingdom,2020-02-18,113.38
city,Birmingham,driving,NA,England,United Kingdom,2020-02-19,117.4
