fX,fY,authority,BOR
8,4,Barking and Dagenham,BAR
4,6,Barnet,BRN
8,3,Bexley,BXL
3,5,Brent,BRT
6,2,Bromley,BRM
4,5,Camden,CMD
5,2,Croydon,CRD
2,5,Ealing,ELG
5,7,Enfield,ENF
7,3,Greenwich,GRN
6,5,Hackney,HCK
2,4,Hammersmith and Fulham,HMS
5,6,Haringey,HGY
3,6,Harrow,HRW
8,5,Havering,HVG
1,5,Hillingdon,HDN
1,4,Hounslow,HNS
5,5,Islington,ISL
3,4,Kensington and Chelsea,KNS
3,2,Kingston upon Thames,KNG
4,3,Lambeth,LAM
6,3,Lewisham,LSH
4,2,Merton,MRT
7,4,Newham,NWM
7,5,Redbridge,RDB
2,3,Richmond upon Thames,RCH
5,3,Southwark,SWR
4,1,Sutton,STN
6,4,Tower Hamlets,TOW
6,6,Waltham Forest,WTH
3,3,Wandsworth,WNS
4,4,Westminster,WST
5,4,City of London,CTY
