oa_code,statistic_type,statistic_value
E00056750,weight_mean,0.05276946107784451
E00056751,weight_mean,0.025724976613657604
E00056752,weight_mean,0.04922471080482388
E00056753,weight_mean,0.12401055408970985
E00056754,weight_mean,0.03224218557715979
E00056755,weight_mean,0.03691853310361816
E00056756,weight_mean,0.047155688622754134
E00056757,weight_mean,0.025418343571277348
E00056758,weight_mean,0.03063610851262863
E00056759,weight_mean,0.022029231095106804
E00056760,weight_mean,0.02992453812125967
E00056761,weight_mean,0.029288702928870487
E00056762,weight_mean,0.04779220779220741
E00056763,weight_mean,0.032273152478952086
E00056764,weight_mean,0.032507015902712814
E00056765,weight_mean,0.040593286494926266
E00056766,weight_mean,0.13456464379947242
E00056767,weight_mean,0.02945544554455461
E00056768,weight_mean,0.04603293413173655
E00056769,weight_mean,0.11225444340505153
E00056770,weight_mean,0.050039714058776996
E00056771,weight_mean,0.05192231470471674
E00056772,weight_mean,0.0319847489938574
E00056773,weight_mean,0.027357651245551295
E00056774,weight_mean,0.18809980806142051
E00056775,weight_mean,0.02928870292887048
E00056776,weight_mean,0.03669008587041372
E00056777,weight_mean,0.04603293413173655
E00056778,weight_mean,0.08316831683168308
E00056779,weight_mean,0.0322731524789521
E00056780,weight_mean,0.14587332053742827
E00056781,weight_mean,0.051129607609988
E00056782,weight_mean,0.036914600550963995
E00056783,weight_mean,0.028796455820821926
E00056784,weight_mean,0.03018475149622675
E00056786,weight_mean,0.0413223140495866
E00056787,weight_mean,0.03368263473053882
E00056788,weight_mean,0.0958663148636765
E00056789,weight_mean,0.14423922603342135
E00056790,weight_mean,0.04504061038641385
E00056792,weight_mean,0.04752994011976052
E00056793,weight_mean,0.028531337698784104
E00056794,weight_mean,0.02619270346117855
E00056795,weight_mean,0.1213720316622694
E00056796,weight_mean,0.10290237467018455
E00056797,weight_mean,0.02909090909090894
E00056798,weight_mean,0.022876509214149427
E00056799,weight_mean,0.0467697185889814
E00056800,weight_mean,0.027548209366391418
E00056801,weight_mean,0.029752066115702785
E00056802,weight_mean,0.030123456790123578
E00056803,weight_mean,0.04854368932038848
E00056804,weight_mean,0.025355871886120884
E00056805,weight_mean,0.04940119760479024
E00056806,weight_mean,0.045580657946888536
E00056807,weight_mean,0.022876509214149392
E00056808,weight_mean,0.02157473309608575
E00056809,weight_mean,0.05164670658682644
E00056810,weight_mean,0.04280618311533907
E00056811,weight_mean,0.02970065481758661
E00056812,weight_mean,0.0361801624415455
E00056813,weight_mean,0.028148148148148377
E00056814,weight_mean,0.04606830818109607
E00056815,weight_mean,0.034348165495706046
E00056816,weight_mean,0.13016710642040427
E00056817,weight_mean,0.03227315247895216
E00056818,weight_mean,0.02412010829436387
E00056819,weight_mean,0.12225153913808268
E00056820,weight_mean,0.02935064935064942
E00056821,weight_mean,0.02132859364585653
E00056822,weight_mean,0.03461178671655794
E00056823,weight_mean,0.03347280334728053
E00056825,weight_mean,0.026827467388629386
E00056827,weight_mean,0.03686087990487525
E00056828,weight_mean,0.020884247944901364
E00056829,weight_mean,0.042891183478951336
E00056830,weight_mean,0.04640718562874234
E00056831,weight_mean,0.02287650921414943
E00056832,weight_mean,0.030273197144967002
E00056833,weight_mean,0.021106420795378944
E00056834,weight_mean,0.041594880630076804
E00056835,weight_mean,0.03180542563143124
E00056836,weight_mean,0.0314285714285714
E00056837,weight_mean,0.02571428571428588
E00056838,weight_mean,0.030649350649350742
E00056839,weight_mean,0.11852963240810234
E00056840,weight_mean,0.13016710642040424
E00056841,weight_mean,0.030519320698990812
E00056842,weight_mean,0.027771606309708763
E00056843,weight_mean,0.034949544671425053
E00056845,weight_mean,0.04378742514970071
E00056846,weight_mean,0.12528132033008288
E00056847,weight_mean,0.11927981995498865
E00056848,weight_mean,0.0892430278884461
E00056849,weight_mean,0.10517928286852574
E00056850,weight_mean,0.04597701149425268
E00056851,weight_mean,0.09977494373593407
E00056852,weight_mean,0.14778694673668452
E00056853,weight_mean,0.04790419161676661
E00056854,weight_mean,0.043995243757431725
E00056855,weight_mean,0.09322779243623562
E00056856,weight_mean,0.0270735909426535
E00056858,weight_mean,0.03892215568862304
E00056859,weight_mean,0.08795074758135453
E00056861,weight_mean,0.029780950036918403
E00056862,weight_mean,0.04774796948067942
E00056863,weight_mean,0.029780950036918438
E00056864,weight_mean,0.03636363636363639
E00056865,weight_mean,0.049026946107784686
E00056866,weight_mean,0.02713523131672606
E00056867,weight_mean,0.03250688705234131
E00056868,weight_mean,0.032734432685207905
E00056869,weight_mean,0.032734432685207905
E00056871,weight_mean,0.0905892700087949
E00056873,weight_mean,0.04565868263473054
E00056874,weight_mean,0.16504126031507915
E00056875,weight_mean,0.08777194298574643
E00056876,weight_mean,0.17779444861215277
E00056877,weight_mean,0.027565838050701286
E00056878,weight_mean,0.029780950036918413
E00056879,weight_mean,0.030273197144967033
E00056880,weight_mean,0.09002250562640672
E00056881,weight_mean,0.09586631486367651
E00056882,weight_mean,0.2970297029702973
E00056883,weight_mean,0.16370439663236686
E00056884,weight_mean,0.1065266316579148
E00056885,weight_mean,0.08102025506376576
E00056886,weight_mean,0.09448082319925154
E00056887,weight_mean,0.04085349986989331
E00056888,weight_mean,0.10466138962181154
E00056889,weight_mean,0.10802700675168833
E00056890,weight_mean,0.030273197144967026
E00056891,weight_mean,0.0765191297824457
E00056892,weight_mean,0.08327081770442639
E00056893,weight_mean,0.11177794448612172
E00056894,weight_mean,0.11777944486121517
E00056895,weight_mean,0.10851262862488316
E00056897,weight_mean,0.07426856714178534
E00056898,weight_mean,0.09227306826706658
E00056899,weight_mean,0.10727681920480119
E00056900,weight_mean,0.6235294117647061
E00056901,weight_mean,0.11609498680738775
E00056902,weight_mean,0.10149488591660111
E00056903,weight_mean,0.1342835708927232
E00056904,weight_mean,0.023873984740339714
E00056905,weight_mean,0.031503814915087476
E00056906,weight_mean,0.1354441512752858
E00056907,weight_mean,0.11081794195250683
E00056908,weight_mean,0.08883025505716798
E00056909,weight_mean,0.12824547600314679
E00056910,weight_mean,0.09410729991204914
E00056911,weight_mean,0.09410729991204908
E00056912,weight_mean,0.04940119760479022
E00056913,weight_mean,0.02999333481448609
E00056914,weight_mean,0.04902694610778469
E00056915,weight_mean,0.02732726060875343
E00056916,weight_mean,0.09167446211412533
E00056917,weight_mean,0.026477441220080288
E00056918,weight_mean,0.03180542563143119
E00056919,weight_mean,0.02962962962962955
E00056920,weight_mean,0.033676333021515605
E00056921,weight_mean,0.03157156220767096
E00056922,weight_mean,0.026265621690319832
E00056923,weight_mean,0.02970065481758658
E00056924,weight_mean,0.04790419161676662
E00056925,weight_mean,0.04875148632580278
E00056926,weight_mean,0.04676971858898137
E00056927,weight_mean,0.03599200177738273
E00056928,weight_mean,0.02710508775827594
E00056929,weight_mean,0.02859563651768696
E00056930,weight_mean,0.04603293413173653
E00056931,weight_mean,0.025841982630798763
E00056932,weight_mean,0.025630163101037818
E00056933,weight_mean,0.03252667187093414
E00056934,weight_mean,0.027565838050701265
E00056935,weight_mean,0.024858478956436204
E00056936,weight_mean,0.026438569206843093
E00056937,weight_mean,0.07211961301671066
E00056938,weight_mean,0.0499405469678951
E00056939,weight_mean,0.031806049822064204
E00056940,weight_mean,0.030765444253014782
E00056941,weight_mean,0.06585056986070097
E00056942,weight_mean,0.030215507664963677
E00056943,weight_mean,0.029581850533807744
E00056944,weight_mean,0.23003802281368863
E00056945,weight_mean,0.04447974583002369
E00056946,weight_mean,0.27946768060836485
E00056947,weight_mean,0.028171997458165454
E00056948,weight_mean,0.027324719339122745
E00056949,weight_mean,0.026170798898071525
E00056950,weight_mean,0.029232927970065627
E00056951,weight_mean,0.03016838166510762
E00056952,weight_mean,0.03160493827160494
E00056953,weight_mean,0.027771606309708815
E00056954,weight_mean,0.20918367346938757
E00056955,weight_mean,0.0279937791601863
E00056956,weight_mean,0.23764258555133055
E00056957,weight_mean,0.028531337698784097
E00056958,weight_mean,0.056393963463066105
E00056959,weight_mean,0.14054054054054055
E00056960,weight_mean,0.3326996197718632
E00056961,weight_mean,0.2566539923954371
E00056962,weight_mean,0.05426646706586809
E00056963,weight_mean,0.04454836327836548
E00056964,weight_mean,0.049401197604790205
E00056965,weight_mean,0.03227315247895218
E00056966,weight_mean,0.05909666525960351
E00056967,weight_mean,0.03143712574850295
E00056968,weight_mean,0.03629629629629649
E00056969,weight_mean,0.2073170731707319
E00056970,weight_mean,0.02946679139382581
E00056971,weight_mean,0.021550766496334015
E00056972,weight_mean,0.014265668849392052
E00056973,weight_mean,0.015668849391955036
E00056974,weight_mean,0.03966942148760339
E00056975,weight_mean,0.29657794676806104
E00056976,weight_mean,0.037068417708112346
E00056977,weight_mean,0.17886178861788593
E00056978,weight_mean,0.03544179177947346
E00056979,weight_mean,0.05014970059880232
E00056981,weight_mean,0.047904191616766595
E00056982,weight_mean,0.050149700598802326
E00056983,weight_mean,0.02970065481758656
E00056984,weight_mean,0.05164670658682644
E00056985,weight_mean,0.026023131672597653
E00056986,weight_mean,0.04565868263473054
E00056987,weight_mean,0.02846975088967942
E00056988,weight_mean,0.04902694610778463
E00056989,weight_mean,0.047155688622754155
E00056990,weight_mean,0.04266467065868269
E00056991,weight_mean,0.06110652353426904
E00056992,weight_mean,0.10127531882970761
E00056993,weight_mean,0.10052513128282076
E00056994,weight_mean,0.09800796812748995
E00056995,weight_mean,0.0930232558139533
E00056997,weight_mean,0.09602400600150063
E00056998,weight_mean,1.1176470588235297
E00056999,weight_mean,0.09227306826706656
E00057000,weight_mean,0.040044910179640805
E00057001,weight_mean,0.10877719429857441
E00057002,weight_mean,0.08177044261065267
E00057003,weight_mean,0.09827456864216036
E00057004,weight_mean,0.022151119862170714
E00057005,weight_mean,0.09938434476693069
E00057006,weight_mean,0.0257720506554099
E00057007,weight_mean,0.027536538868884016
E00057008,weight_mean,0.03884264764169657
E00057009,weight_mean,0.1072768192048012
E00057010,weight_mean,0.022918615528531198
E00057011,weight_mean,0.046271228156534686
E00057012,weight_mean,0.10577644411102768
E00057013,weight_mean,0.05551387846961727
E00057014,weight_mean,0.1042760690172543
E00057015,weight_mean,0.1035258814703674
E00057016,weight_mean,0.10502625656414094
E00057017,weight_mean,0.09377344336084022
E00057018,weight_mean,0.02731971449667743
E00057019,weight_mean,0.11027756939234792
E00057020,weight_mean,0.8588235294117645
E00057021,weight_mean,0.030519320698990826
E00057022,weight_mean,0.09377344336084022
E00057023,weight_mean,0.10577644411102761
E00057024,weight_mean,0.13456464379947244
E00057025,weight_mean,0.04756242568370982
E00057026,weight_mean,0.030765444253014786
E00057027,weight_mean,0.11627906976744201
E00057028,weight_mean,0.0937734433608402
E00057029,weight_mean,0.9000000000000001
E00057030,weight_mean,1.1376811594202902
E00057031,weight_mean,0.090022505626406693
E00057032,weight_mean,0.11027756939234791
E00057033,weight_mean,0.9799999999999998
E00057034,weight_mean,0.1507876969242312
E00057035,weight_mean,0.09677419354838684
E00057036,weight_mean,0.10277569392348077
E00057037,weight_mean,0.10597609561752999
E00057038,weight_mean,0.10352588147036741
E00057039,weight_mean,0.11433597185576085
E00057040,weight_mean,0.024359245922474036
E00057041,weight_mean,0.09003984063745016
E00057042,weight_mean,0.08552138034508616
E00057043,weight_mean,0.11169744942832033
E00057044,weight_mean,0.04981004643309383
E00057045,weight_mean,0.0930232558139533
E00057046,weight_mean,0.04378742514970071
E00057047,weight_mean,0.08327081770442638
E00057048,weight_mean,0.05089820359281435
E00057049,weight_mean,0.04902694610778472
E00057050,weight_mean,0.11609498680738774
E00057051,weight_mean,0.052916564115185465
E00057052,weight_mean,0.0570749108204519
E00057053,weight_mean,0.08531222515391407
E00057054,weight_mean,0.028796455820821902
E00057055,weight_mean,0.04715568862275418
E00057056,weight_mean,0.04453592814371239
E00057057,weight_mean,0.025958840037417937
E00057058,weight_mean,0.04416167664670691
E00057059,weight_mean,0.03368263473053883
E00057060,weight_mean,0.02584297317253281
E00057062,weight_mean,0.04790419161676664
E00057063,weight_mean,0.026192703461178538
E00057064,weight_mean,0.03963535473642469
E00057065,weight_mean,0.028831168831169172
E00057066,weight_mean,0.16182937554969223
E00057067,weight_mean,0.049963081466896486
E00057068,weight_mean,0.10290237467018455
E00057069,weight_mean,0.030519320698990833
E00057070,weight_mean,0.036676646706586824
E00057071,weight_mean,0.04191616766467091
E00057072,weight_mean,0.023116883116883372
E00057073,weight_mean,0.028438124861141882
E00057074,weight_mean,0.10114335971855762
E00057075,weight_mean,0.03616965912047913
E00057076,weight_mean,0.08531222515391408
E00057077,weight_mean,0.05065428450823133
E00057078,weight_mean,0.026581343834604695
E00057079,weight_mean,0.04378742514970071
E00057080,weight_mean,0.09850483729111727
E00057081,weight_mean,0.08027006751687893
E00057082,weight_mean,0.038173652694611045
E00057083,weight_mean,0.04558065794688853
E00057084,weight_mean,0.03027319714496702
E00057085,weight_mean,0.09152288072017989
E00057086,weight_mean,0.03963535473642471
E00057087,weight_mean,0.034710743801652635
E00057088,weight_mean,0.10466138962181153
E00057089,weight_mean,0.10642040457343879
E00057090,weight_mean,0.10993843447669321
E00057091,weight_mean,0.055763473053892176
E00057092,weight_mean,0.09152288072017986
E00057093,weight_mean,0.11609498680738775
E00057094,weight_mean,0.023723787333191967
E00057095,weight_mean,0.04432249894470244
